code,areaName,-8,1,2,3,4,5,6,7,8,9
6842,10370,9350,5676,6149,6488,4423,3460,6435,E14000530,Aldershot,52078
4402,6245,4462,3778,4599,3186,2569,2704,3537,E14000531,Aldridge-Brownhills,42170
8953,15442,6817,4372,2811,2823,2821,1242,2455,E14000532,Altrincham and Sale West,53189
9129,9959,6887,4432,5423,4198,2850,1884,3412,E14000534,Arundel and South Downs,56120
4559,6056,4990,4396,6385,5150,4222,4960,6643,E14000535,Ashfield,57132
8639,11223,7933,5531,7019,5646,4742,4241,6089,E14000536,Ashford,66260
3732,6064,5139,4695,4958,4534,4297,4179,5197,E14000537,Ashton-under-Lyne,53178
5181,10070,6207,5795,7275,7186,5136,5976,10146,E14000540,Barking,82915
3790,7879,5028,3139,6206,4372,3057,2839,4408,E14000543,Barrow and Furness,46717
5988,8294,6071,5465,4795,4032,3229,3210,4912,E14000544,Basildon and Billericay,51708
7778,13645,9270,6342,5840,5718,4892,3952,6425,E14000545,Basingstoke,55634
6027,7234,5447,4186,5933,5335,3914,5733,6708,E14000546,Bassetlaw,57894
6110,12226,6065,3165,3129,3351,2910,1325,4000,E14000547,Bath,52762
5411,7833,6090,4925,5600,4574,4524,5012,5449,E14000548,Batley and Spen,61272
14152,24153,15019,4941,2566,4013,2841,1651,3370,E14000549,Battersea,46726
11412,12099,7808,4852,4284,3346,2550,1814,2713,E14000550,Beaconsfield,54153
8395,12633,7498,5238,3464,2826,2194,1430,2101,E14000551,Beckenham,46995
5353,9717,6482,4529,5157,5239,4281,4367,8252,E14000552,Bedford,57223
11306,25695,13225,5654,3652,5404,4148,2795,7751,E14000553,Bermondsey and Old Southwark,63134
4332,4839,3535,2673,4892,3499,2673,2339,3697,E14000554,Berwick-upon-Tweed,43060
5895,8294,5986,4199,5836,4358,3217,2953,3998,E14000556,Beverley and Holderness,55205
6915,7808,5674,4409,6215,4944,3138,2083,3385,E14000557,Bexhill and Battle,60102
5554,9083,6110,5921,4833,3855,3379,2864,3957,E14000558,Bexleyheath and Crayford,49058
3613,6268,4373,3672,3849,5043,3544,3143,4575,E14000559,Birkenhead,52197
4613,12620,4893,3456,2650,3832,2517,2294,4184,E14000560,Birmingham Edgbaston,59066
3213,6104,4387,3877,4058,5017,3745,4653,7050,E14000561,Birmingham Erdington,62753
