code,areaName,-8,1,2,3,4,5,6,7,8,9
11636,18893,12310,8535,5617,11974,9831,7232,4453,E14000530,Aldershot,20791
6734,12846,8383,6354,4079,8470,8687,5077,3217,E14000531,Aldridge-Brownhills,13808
18988,19240,9291,8002,2730,6334,5028,4927,4902,E14000532,Altrincham and Sale West,21480
15188,21258,10473,13422,4056,7959,6149,4433,4192,E14000534,Arundel and South Downs,17164
6386,13977,9631,7698,6851,12733,16804,7683,3682,E14000535,Ashfield,19051
12973,21522,12625,12556,6288,12295,11218,7426,5373,E14000536,Ashford,25048
5917,12468,10343,7052,4774,10072,12579,8762,4667,E14000537,Ashton-under-Lyne,19337
7575,16149,10917,13930,5256,12743,13906,14616,12206,E14000540,Barking,38590
8182,14296,7787,6257,6036,10267,10874,6414,2806,E14000543,Barrow and Furness,14519
10121,15351,10888,8649,4008,8984,9009,5765,4014,E14000544,Basildon and Billericay,20911
15426,20940,13007,8228,5561,11489,11259,5788,4493,E14000545,Basingstoke,23307
8218,16672,9683,8546,6589,12173,16189,7529,3822,E14000546,Bassetlaw,18990
13528,16315,6629,7282,2910,6413,6287,3534,18338,E14000547,Bath,13807
8323,15433,10712,8477,5062,10233,13895,9837,5565,E14000548,Batley and Spen,23152
30462,25676,7815,8741,2828,6070,5815,6435,7070,E14000549,Battersea,18519
18744,20219,9942,11224,3458,6598,5587,4951,4530,E14000550,Beaconsfield,19777
16581,18921,10303,8681,2568,5510,3994,4302,4210,E14000551,Beckenham,17707
9827,16522,10143,8703,4918,10425,14315,8112,6098,E14000552,Bedford,21538
28129,24240,9376,8799,4430,9128,10961,10559,16451,E14000553,Bermondsey and Old Southwark,20691
7261,12834,6788,8818,4344,8458,8478,5920,2134,E14000554,Berwick-upon-Tweed,10506
9928,18929,10457,9582,5417,10499,9805,6142,4179,E14000556,Beverley and Holderness,15005
11286,19608,11412,14636,4483,10343,7082,6258,3697,E14000557,Bexhill and Battle,15869
9526,15607,11234,7891,4057,8266,7671,5748,4858,E14000558,Bexleyheath and Crayford,19753
6103,12679,8723,5863,4481,10550,10839,9032,4374,E14000559,Birkenhead,17633
12162,14102,7406,5922,3163,7417,8425,9879,12398,E14000560,Birmingham Edgbaston,19254
5026,11790,8379,6254,4692,12021,13780,12752,6825,E14000561,Birmingham Erdington,23338
3611,9355,8070,8260,4025,11783,13845,23567,12716,E14000563,Birmingham Hodge Hill,37141
9872,12409,7462,7168,3942,10130,14371,21886,25083,E14000564,Birmingham Ladywood,31737
7477,14912,10156,6045,4989,11316,11467,10392,5899,E14000565,Birmingham Northfield,23241
5404,11760,8772,7519,4280,10638,12981,15631,9895,E14000566,Birmingham Perry Barr,25560
9372,15187,8510,6110,3819,8568,9250,9580,19506,E14000567,Birmingham Selly Oak,19703
5448,12322,9811,7763,4878,12045,12992,14574,8345,E14000568,Birmingham Yardley,28785
6256,13211,7924,7446,5237,10710,11795,8405,3548,E14000569,Bishop Auckland,15379
5647,12382,9812,7089,4388,11014,13469,14524,8274,E14000570,Blackburn,27795
6709,13002,9969,8733,4212,11352,13806,15839,10251,E14000571,Blackley and Broughton,35036
5141,12137,9250,7937,4359,9883,9540,7616,3562,E14000572,Blackpool North and Cleveleys,13448
3869,10286,7544,8236,4119,10192,10005,8555,3576,E14000573,Blackpool South,14618
6530,13635,9972,5180,4947,9974,9274,7603,3234,E14000575,Blyth Valley,14988
6652,14139,9054,7669,6897,12011,15713,7066,3432,E14000577,Bolsover,17347
7043,13791,9419,7510,4041,9700,11622,10702,5767,E14000578,Bolton North East,21490
5242,11616,9748,7872,4507,10737,14343,13110,7525,E14000579,Bolton South East,26708
10204,17094,10388,8010,4359,9222,10007,6841,4402,E14000580,Bolton West,18580
5793,14040,11984,6839,4656,11831,12403,10103,4819,E14000581,Bootle,18914
5493,13502,8796,10274,6462,14038,19792,8283,4010,E14000582,Boston and Skegness,18838
11583,18515,10966,9693,5667,10055,12485,5330,4002,E14000583,Bosworth,18537
11506,18215,10252,10747,4447,11129,8769,6040,7141,E14000584,Bournemouth East,18689
9763,15931,9803,9687,4853,11302,9728,6338,14339,E14000585,Bournemouth West,15881
5289,11578,9285,8071,4582,10475,14452,17182,8920,E14000587,Bradford East,31982
5693,12527,9974,6966,5075,10327,14079,10677,6091,E14000588,Bradford South,25031
5395,10982,8549,8231,3728,8951,13125,19723,11922,E14000589,Bradford West,30749
21100,24507,11022,13828,4903,9414,10281,10984,9292,E14000593,Brentford and Isleworth,28539
14959,18572,11271,10960,3322,6904,5620,4855,3858,E14000594,Brentwood and Ongar,18046
9164,17579,10447,13348,6639,13644,15562,6615,3954,E14000595,Bridgwater and West Somerset,19336
6830,13373,7645,7615,5532,9794,12967,6095,3169,E14000596,Brigg and Goole,14648
7182,13588,8469,7353,5849,10363,13483,5699,3022,E14000533,Amber Valley,15312
16061,23362,13006,11482,6809,13512,14858,5715,5224,E14000539,Banbury,26433
5471,12562,8346,6802,5404,9865,14904,7338,3614,E14000541,Barnsley Central,16250
4968,12061,8633,7356,5976,11023,15046,8220,3415,E14000542,Barnsley East,17660
21429,22606,9095,8402,4110,9275,8766,16794,17078,E14000555,Bethnal Green and Bow,25465
9353,13795,8364,8270,3321,9186,9764,19932,11137,E14000562,Birmingham Hall Green,28792
8090,14956,9721,5789,4597,10139,9520,6988,3400,E14000574,Blaydon,14820
8266,17444,11180,11696,6207,13742,12228,6963,4471,E14000576,Bognor Regis and Littlehampton,17953
16023,21444,11988,9402,4901,9502,8092,4941,4946,E14000586,Bracknell,22720
9952,17686,10819,11081,5061,10566,10101,5257,3873,E14000590,Braintree,18867
12076,18798,10030,15259,5332,12113,15080,17170,14145,E14000591,Brent Central,29717
12759,17840,10996,17341,4942,11785,15151,15048,12093,E14000592,Brent North,26964
14907,20150,7841,9554,2958,6726,5461,4594,17889,E14000598,Brighton Pavilion,14662
10300,17343,10317,8623,4639,10104,11122,6307,6631,E14000599,Bristol East,18930
13980,17799,9167,7203,3795,9158,11278,6239,9761,E14000600,Bristol North West,21666
24281,24692,8606,8508,3225,6966,8149,6234,30289,E14000602,Bristol West,19012
9982,18096,11041,11922,4955,10541,9285,4684,3479,E14000603,Broadland,16079
15568,17919,9483,9057,2831,6213,5103,5456,4678,E14000604,Bromley and Chislehurst,19784
14265,19284,10026,9169,4310,7944,7047,4812,4244,E14000605,Bromsgrove,18082
18075,22056,10683,12261,4013,7608,6544,3889,5077,E14000608,Buckingham,21047
5388,12299,8242,6567,4771,10983,13157,9074,4718,E14000609,Burnley,19447
8707,15186,9310,7184,3847,8442,8781,7570,4773,E14000611,Bury North,18058
10282,17419,10769,8139,4075,9275,8689,7331,5095,E14000612,Bury South,20920
13054,22239,12605,11064,5719,11670,12126,5280,4294,E14000613,Bury St Edmunds,19396
12371,19151,9952,9645,4404,9065,10037,5395,4326,E14000614,Calder Valley,18228
17219,22916,8888,8718,4276,9693,11701,10697,10719,E14000615,Camberwell and Peckham,23207
6505,14979,8719,10835,5249,11775,10539,5321,4720,E14000616,Camborne and Redruth,16798
26622,19175,7833,6941,3526,7278,8689,5286,29099,E14000617,Cambridge,19298
6934,15477,9696,8647,6266,12023,13156,6579,3699,E14000618,Cannock Chase,18041
12196,18693,8986,9988,4003,8851,7972,6302,19125,E14000619,Canterbury,17273
7846,14268,11137,9656,4562,9703,8331,5734,3175,E14000622,Castle Point,15175
11303,18690,11045,11104,4790,9916,9616,4601,4321,E14000624,Central Suffolk and North Ipswich,17741
12194,18990,11404,9460,4782,9111,9994,5377,4583,E14000625,Charnwood,19028
7829,15441,10818,9136,5143,10173,11135,6504,4369,E14000626,Chatham and Aylesford,22015
15736,19641,10287,8035,2876,6709,4727,4996,4317,E14000627,Cheadle,18154
15497,21178,12288,8815,4315,9474,8925,5458,5519,E14000628,Chelmsford,21401
24399,19399,6074,9346,1969,5132,4724,7014,8203,E14000629,Chelsea and Fulham,15495
15346,20223,10662,8708,3975,9574,8210,5067,6865,E14000630,Cheltenham,18498
17818,18934,8823,10202,2651,6125,4658,3953,4307,E14000631,Chesham and Amersham,19216
8017,14720,9689,6908,5009,11516,11888,6293,3471,E14000632,Chesterfield,15730
15139,22376,10658,13807,4687,9988,8077,5530,6351,E14000633,Chichester,17808
12443,16822,9057,10376,3045,6850,6173,6950,5415,E14000634,Chingford and Woodford Green,18845
13239,18973,10309,8847,4825,9688,9566,4233,3992,E14000635,Chippenham,17965
